"Status","Year","Sexual_orientation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Declared disabled","380","370","40960","38780"
"In post","2021","Heterosexual / straight","Commercial","Declared non-disabled","2830","2740","40950","37460"
"In post","2021","Heterosexual / straight","Commercial","Undeclared","160","160","43050","40000"
"In post","2021","Heterosexual / straight","Commercial","Unknown","400","380","37400","35290"
"In post","2021","Heterosexual / straight","Communications","Declared disabled","190","180","37030","34640"
"In post","2021","Heterosexual / straight","Communications","Declared non-disabled","2050","1970","42220","38630"
"In post","2021","Heterosexual / straight","Communications","Undeclared","70","70","40660","36420"
"In post","2021","Heterosexual / straight","Communications","Unknown","260","260","39780","36070"
"In post","2021","Heterosexual / straight","Corporate Finance","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Declared non-disabled","110","100","47160","46080"
"In post","2021","Heterosexual / straight","Corporate Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Corporate Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Counter Fraud","Declared disabled","50","50","34430","31000"
"In post","2021","Heterosexual / straight","Counter Fraud","Declared non-disabled","470","450","37590","34990"
"In post","2021","Heterosexual / straight","Counter Fraud","Undeclared","50","50","37560","33550"
"In post","2021","Heterosexual / straight","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Declared disabled","750","730","39560","36160"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Declared non-disabled","6540","6360","42840","39040"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Undeclared","240","240","41360","38450"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","750","730","40570","37410"
"In post","2021","Heterosexual / straight","Economics","Declared disabled","80","70","47010","46220"
"In post","2021","Heterosexual / straight","Economics","Declared non-disabled","1140","1120","48740","49320"
"In post","2021","Heterosexual / straight","Economics","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Unknown","140","140","42180","35340"
"In post","2021","Heterosexual / straight","Finance","Declared disabled","620","580","37910","33790"
"In post","2021","Heterosexual / straight","Finance","Declared non-disabled","5370","5120","41260","37410"
"In post","2021","Heterosexual / straight","Finance","Undeclared","210","200","38030","35330"
"In post","2021","Heterosexual / straight","Finance","Unknown","380","370","40760","36820"
"In post","2021","Heterosexual / straight","Human Resources","Declared disabled","770","730","40010","36030"
"In post","2021","Heterosexual / straight","Human Resources","Declared non-disabled","4550","4300","39310","35000"
"In post","2021","Heterosexual / straight","Human Resources","Undeclared","200","190","38520","36720"
"In post","2021","Heterosexual / straight","Human Resources","Unknown","490","460","35290","30660"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Declared disabled","50","50","61590","51360"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Declared non-disabled","630","610","67470","74730"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Unknown","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Declared disabled","240","230","33240","30830"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Declared non-disabled","2010","1930","33920","30830"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Undeclared","110","100","33120","30500"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Unknown","110","100","43470","40580"
"In post","2021","Heterosexual / straight","Internal Audit","Declared disabled","70","60","44110","39980"
"In post","2021","Heterosexual / straight","Internal Audit","Declared non-disabled","490","470","46210","43540"
"In post","2021","Heterosexual / straight","Internal Audit","Undeclared","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Declared disabled","60","60","46950","46130"
"In post","2021","Heterosexual / straight","International Trade","Declared non-disabled","620","610","47680","48220"
"In post","2021","Heterosexual / straight","International Trade","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","International Trade","Unknown","140","140","48310","40000"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Declared disabled","190","190","34640","33000"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Declared non-disabled","1310","1250","36860","33300"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Undeclared","60","50","37210","33300"
"In post","2021","Heterosexual / straight","Knowledge and Information Management","Unknown","80","70","40220","35750"
"In post","2021","Heterosexual / straight","Legal","Declared disabled","700","650","48360","50500"
"In post","2021","Heterosexual / straight","Legal","Declared non-disabled","6200","5810","48570","50520"
"In post","2021","Heterosexual / straight","Legal","Undeclared","170","160","48310","46950"
"In post","2021","Heterosexual / straight","Legal","Unknown","660","630","44870","48080"
"In post","2021","Heterosexual / straight","Medicine","Declared disabled","100","90","54540","40890"
"In post","2021","Heterosexual / straight","Medicine","Declared non-disabled","1320","1190","53690","40000"
"In post","2021","Heterosexual / straight","Medicine","Undeclared","60","50","53270","38890"
"In post","2021","Heterosexual / straight","Medicine","Unknown","240","220","57000","40860"
"In post","2021","Heterosexual / straight","Operational Delivery","Declared disabled","12940","11760","28120","25580"
"In post","2021","Heterosexual / straight","Operational Delivery","Declared non-disabled","90450","83620","29040","26130"
"In post","2021","Heterosexual / straight","Operational Delivery","Undeclared","5180","4750","29220","27380"
"In post","2021","Heterosexual / straight","Operational Delivery","Unknown","7440","6950","31210","28840"
"In post","2021","Heterosexual / straight","Operational Research","Declared disabled","110","100","42100","38800"
"In post","2021","Heterosexual / straight","Operational Research","Declared non-disabled","680","650","45100","46080"
"In post","2021","Heterosexual / straight","Operational Research","Undeclared","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Operational Research","Unknown","30","30","[c]","[c]"
"In post","2021","Heterosexual / straight","Other","Declared disabled","1480","1410","28320","25380"
"In post","2021","Heterosexual / straight","Other","Declared non-disabled","11970","11470","31060","26670"
"In post","2021","Heterosexual / straight","Other","Undeclared","560","540","27580","22780"
"In post","2021","Heterosexual / straight","Other","Unknown","1250","1200","30120","26670"
"In post","2021","Heterosexual / straight","Planning","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Declared non-disabled","140","130","47420","40920"
"In post","2021","Heterosexual / straight","Planning","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Declared disabled","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Declared non-disabled","220","200","58140","58810"
"In post","2021","Heterosexual / straight","Planning Inspectors","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Policy","Declared disabled","1760","1710","44830","39900"
"In post","2021","Heterosexual / straight","Policy","Declared non-disabled","16090","15610","48220","45370"
"In post","2021","Heterosexual / straight","Policy","Undeclared","610","600","44320","39680"
"In post","2021","Heterosexual / straight","Policy","Unknown","1240","1210","45620","40260"
"In post","2021","Heterosexual / straight","Project Delivery","Declared disabled","1140","1100","40190","38310"
"In post","2021","Heterosexual / straight","Project Delivery","Declared non-disabled","9700","9420","42750","39310"
"In post","2021","Heterosexual / straight","Project Delivery","Undeclared","330","320","40280","38630"
"In post","2021","Heterosexual / straight","Project Delivery","Unknown","700","680","42310","39550"
"In post","2021","Heterosexual / straight","Property","Declared disabled","440","420","34890","33250"
"In post","2021","Heterosexual / straight","Property","Declared non-disabled","3980","3820","37300","33300"
"In post","2021","Heterosexual / straight","Property","Undeclared","190","180","35850","33300"
"In post","2021","Heterosexual / straight","Property","Unknown","260","250","32540","30500"
