"Status","Year","Sexual_orientation","Profession_of_post","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Commercial","Female","2070","1960","38920","36300"
"In post","2021","Heterosexual / straight","Commercial","Male","1700","1680","42790","40080"
"In post","2021","Heterosexual / straight","Communications","Female","1580","1500","41540","38540"
"In post","2021","Heterosexual / straight","Communications","Male","1000","990","41560","37660"
"In post","2021","Heterosexual / straight","Corporate Finance","Female","60","60","45090","41600"
"In post","2021","Heterosexual / straight","Corporate Finance","Male","60","60","52090","47140"
"In post","2021","Heterosexual / straight","Counter Fraud","Female","280","250","34210","31070"
"In post","2021","Heterosexual / straight","Counter Fraud","Male","320","310","40380","37910"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Female","2990","2830","40910","38000"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Male","5290","5230","43090","39310"
"In post","2021","Heterosexual / straight","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Economics","Female","530","510","47690","49100"
"In post","2021","Heterosexual / straight","Economics","Male","870","860","47940","46240"
"In post","2021","Heterosexual / straight","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Finance","Female","3720","3450","38490","33930"
"In post","2021","Heterosexual / straight","Finance","Male","2860","2820","43830","39910"
"In post","2021","Heterosexual / straight","Human Resources","Female","4400","4110","38700","33900"
"In post","2021","Heterosexual / straight","Human Resources","Male","1610","1580","40000","35760"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Female","520","500","63490","64500"
"In post","2021","Heterosexual / straight","Inspector of Education and Training","Male","210","200","73650","75500"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Female","1150","1070","32900","29250"
"In post","2021","Heterosexual / straight","Intelligence Analysis","Male","1320","1290","35380","31920"
"In post","2021","Heterosexual / straight","Internal Audit","Female","300","290","43320","41340"
"In post","2021","Heterosexual / straight","Internal Audit","Male","300","290","48820","46500"
"In post","2021","Heterosexual / straight","International Trade","Female","370","370","46960","41290"
"In post","2021","Heterosexual / straight","International Trade","Male","460","460","48430","50010"
