"Status","Year","Sexual_orientation","Region_ITL1","Disability","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","Declared disabled","1990","1820","28500","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","Declared non-disabled","11000","10230","30250","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","Undeclared","640","590","28600","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","Unknown","510","480","30840","26930"
"In post","2021","Heterosexual / straight","East of England","Declared disabled","1980","1810","30040","27570"
"In post","2021","Heterosexual / straight","East of England","Declared non-disabled","12220","11390","30740","27850"
"In post","2021","Heterosexual / straight","East of England","Undeclared","730","690","31100","29290"
"In post","2021","Heterosexual / straight","East of England","Unknown","700","670","34090","32000"
"In post","2021","Heterosexual / straight","London","Declared disabled","6630","6300","40630","35070"
"In post","2021","Heterosexual / straight","London","Declared non-disabled","53280","51230","43940","37900"
"In post","2021","Heterosexual / straight","London","Undeclared","2280","2200","41190","35770"
"In post","2021","Heterosexual / straight","London","Unknown","4110","4000","43970","40000"
"In post","2021","Heterosexual / straight","North East (England)","Declared disabled","2620","2310","27160","25560"
"In post","2021","Heterosexual / straight","North East (England)","Declared non-disabled","15440","14000","29100","26520"
"In post","2021","Heterosexual / straight","North East (England)","Undeclared","750","680","28720","27570"
"In post","2021","Heterosexual / straight","North East (England)","Unknown","820","740","28400","25560"
"In post","2021","Heterosexual / straight","North West (England)","Declared disabled","5210","4690","28500","27570"
"In post","2021","Heterosexual / straight","North West (England)","Declared non-disabled","30370","28200","30110","27570"
"In post","2021","Heterosexual / straight","North West (England)","Undeclared","1430","1320","28900","27570"
"In post","2021","Heterosexual / straight","North West (England)","Unknown","1960","1880","32680","30640"
"In post","2021","Heterosexual / straight","Northern Ireland","Declared disabled","250","240","27290","25560"
"In post","2021","Heterosexual / straight","Northern Ireland","Declared non-disabled","2030","1910","28670","25560"
"In post","2021","Heterosexual / straight","Northern Ireland","Undeclared","120","110","28850","26750"
"In post","2021","Heterosexual / straight","Northern Ireland","Unknown","230","220","29250","25560"
"In post","2021","Heterosexual / straight","Overseas","Declared disabled","160","160","48570","45490"
"In post","2021","Heterosexual / straight","Overseas","Declared non-disabled","2100","2090","49620","49810"
"In post","2021","Heterosexual / straight","Overseas","Undeclared","50","50","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","Unknown","180","180","55300","54540"
"In post","2021","Heterosexual / straight","Scotland","Declared disabled","3140","2840","30410","27570"
"In post","2021","Heterosexual / straight","Scotland","Declared non-disabled","20110","18780","32910","27570"
"In post","2021","Heterosexual / straight","Scotland","Undeclared","660","620","30090","27570"
"In post","2021","Heterosexual / straight","Scotland","Unknown","3860","3630","36660","33650"
"In post","2021","Heterosexual / straight","South East (England)","Declared disabled","3440","3170","30380","27570"
"In post","2021","Heterosexual / straight","South East (England)","Declared non-disabled","22400","20950","31670","28630"
"In post","2021","Heterosexual / straight","South East (England)","Undeclared","1360","1260","30840","29200"
"In post","2021","Heterosexual / straight","South East (England)","Unknown","1740","1610","32000","29540"
"In post","2021","Heterosexual / straight","South West (England)","Declared disabled","3500","3240","32390","28380"
"In post","2021","Heterosexual / straight","South West (England)","Declared non-disabled","24650","23290","34530","31380"
"In post","2021","Heterosexual / straight","South West (England)","Undeclared","1130","1060","33770","31180"
"In post","2021","Heterosexual / straight","South West (England)","Unknown","1730","1650","35500","33300"
"In post","2021","Heterosexual / straight","Unknown","Declared disabled","140","140","30980","27570"
"In post","2021","Heterosexual / straight","Unknown","Declared non-disabled","780","740","33340","27570"
"In post","2021","Heterosexual / straight","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Unknown","50","50","42680","42080"
"In post","2021","Heterosexual / straight","Wales","Declared disabled","2540","2280","29070","27290"
"In post","2021","Heterosexual / straight","Wales","Declared non-disabled","19220","17890","32190","27570"
"In post","2021","Heterosexual / straight","Wales","Undeclared","790","730","28920","26780"
"In post","2021","Heterosexual / straight","Wales","Unknown","1200","1130","31320","28560"
"In post","2021","Heterosexual / straight","West Midlands (England)","Declared disabled","2700","2470","29090","27570"
"In post","2021","Heterosexual / straight","West Midlands (England)","Declared non-disabled","15810","14760","30580","27570"
"In post","2021","Heterosexual / straight","West Midlands (England)","Undeclared","910","850","29480","27570"
"In post","2021","Heterosexual / straight","West Midlands (England)","Unknown","940","900","33440","30020"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Declared disabled","3020","2720","30170","27570"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Declared non-disabled","19340","17900","31670","27570"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Undeclared","1030","960","30870","29120"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Unknown","960","910","34140","30820"
"In post","2021","LGBO","East Midlands (England)","Declared disabled","190","180","29060","27570"
