"Status","Year","Sexual_orientation","Region_ITL1","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","Analysis","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Commercial","120","110","40420","37970"
"In post","2021","Heterosexual / straight","East Midlands (England)","Communications","260","250","30990","26700"
"In post","2021","Heterosexual / straight","East Midlands (England)","Counter Fraud","330","310","34600","31810"
"In post","2021","Heterosexual / straight","East Midlands (England)","Debt","100","90","22570","20140"
"In post","2021","Heterosexual / straight","East Midlands (England)","Digital, Data & Technology","190","190","37510","33350"
"In post","2021","Heterosexual / straight","East Midlands (England)","Finance","180","170","35710","31810"
"In post","2021","Heterosexual / straight","East Midlands (England)","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Human Resources","350","330","38250","33840"
"In post","2021","Heterosexual / straight","East Midlands (England)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East Midlands (England)","Legal","410","370","38880","34480"
"In post","2021","Heterosexual / straight","East Midlands (England)","No function","7280","6770","29510","26700"
"In post","2021","Heterosexual / straight","East Midlands (England)","Project Delivery","500","480","38210","35000"
"In post","2021","Heterosexual / straight","East Midlands (England)","Property","320","300","34760","32100"
"In post","2021","Heterosexual / straight","East Midlands (England)","Security","110","110","28120","24620"
"In post","2021","Heterosexual / straight","East Midlands (England)","Unknown","3890","3530","26320","27570"
"In post","2021","Heterosexual / straight","East of England","Analysis","150","140","34900","30660"
"In post","2021","Heterosexual / straight","East of England","Commercial","270","260","39140","35760"
"In post","2021","Heterosexual / straight","East of England","Communications","80","70","34060","31810"
"In post","2021","Heterosexual / straight","East of England","Counter Fraud","270","250","29010","26470"
"In post","2021","Heterosexual / straight","East of England","Debt","80","70","24770","24390"
"In post","2021","Heterosexual / straight","East of England","Digital, Data & Technology","320","310","36650","33300"
"In post","2021","Heterosexual / straight","East of England","Finance","310","290","37580","35270"
"In post","2021","Heterosexual / straight","East of England","Grants Management","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Human Resources","160","150","35600","31780"
"In post","2021","Heterosexual / straight","East of England","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","East of England","Legal","410","380","40650","36770"
