"Status","Year","Sexual_orientation","Region_ITL1","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","East Midlands (England)","AA/AO","5110","4650","22040","21010"
"In post","2021","Heterosexual / straight","East Midlands (England)","EO","3920","3630","27040","27570"
"In post","2021","Heterosexual / straight","East Midlands (England)","G6/G7","1010","970","57480","53430"
"In post","2021","Heterosexual / straight","East Midlands (England)","SCS","70","70","89240","82730"
"In post","2021","Heterosexual / straight","East Midlands (England)","SEO/HEO","3240","3080","35990","34290"
"In post","2021","Heterosexual / straight","East Midlands (England)","Unknown","790","720","30080","30210"
"In post","2021","Heterosexual / straight","East of England","AA/AO","5300","4880","23540","21440"
"In post","2021","Heterosexual / straight","East of England","EO","4990","4600","28200","27570"
"In post","2021","Heterosexual / straight","East of England","G6/G7","910","870","59480","55710"
"In post","2021","Heterosexual / straight","East of England","SCS","90","80","95190","95620"
"In post","2021","Heterosexual / straight","East of England","SEO/HEO","3540","3380","36890","35480"
"In post","2021","Heterosexual / straight","East of England","Unknown","810","750","29020","28200"
"In post","2021","Heterosexual / straight","London","AA/AO","7960","7420","25490","25110"
"In post","2021","Heterosexual / straight","London","EO","14240","13530","29980","30100"
"In post","2021","Heterosexual / straight","London","G6/G7","18080","17460","60480","58840"
"In post","2021","Heterosexual / straight","London","SCS","3120","3000","90370","81790"
"In post","2021","Heterosexual / straight","London","SEO/HEO","21620","21090","38700","37910"
"In post","2021","Heterosexual / straight","London","Unknown","1290","1240","33870","33950"
"In post","2021","Heterosexual / straight","North East (England)","AA/AO","7990","6900","21460","21010"
"In post","2021","Heterosexual / straight","North East (England)","EO","5210","4710","26870","27570"
"In post","2021","Heterosexual / straight","North East (England)","G6/G7","1440","1400","54640","52580"
"In post","2021","Heterosexual / straight","North East (England)","SCS","90","90","87800","78110"
"In post","2021","Heterosexual / straight","North East (England)","SEO/HEO","4300","4060","34840","33250"
"In post","2021","Heterosexual / straight","North East (England)","Unknown","600","570","29240","28200"
"In post","2021","Heterosexual / straight","North West (England)","AA/AO","12690","11360","21460","21010"
"In post","2021","Heterosexual / straight","North West (England)","EO","12210","11290","26860","27570"
"In post","2021","Heterosexual / straight","North West (England)","G6/G7","3230","3120","56350","52580"
"In post","2021","Heterosexual / straight","North West (England)","SCS","190","190","89060","82300"
"In post","2021","Heterosexual / straight","North West (England)","SEO/HEO","9070","8650","35320","33840"
"In post","2021","Heterosexual / straight","North West (England)","Unknown","1590","1490","30710","30210"
"In post","2021","Heterosexual / straight","Northern Ireland","AA/AO","1110","1020","20850","20310"
"In post","2021","Heterosexual / straight","Northern Ireland","EO","660","620","26730","25560"
"In post","2021","Heterosexual / straight","Northern Ireland","G6/G7","190","180","56310","52580"
"In post","2021","Heterosexual / straight","Northern Ireland","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Northern Ireland","SEO/HEO","660","640","35030","32120"
"In post","2021","Heterosexual / straight","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","AA/AO","40","40","[c]","[c]"
"In post","2021","Heterosexual / straight","Overseas","EO","200","200","27860","26990"
"In post","2021","Heterosexual / straight","Overseas","G6/G7","850","850","60170","58030"
"In post","2021","Heterosexual / straight","Overseas","SCS","210","210","86090","77600"
"In post","2021","Heterosexual / straight","Overseas","SEO/HEO","1000","1000","39460","34770"
"In post","2021","Heterosexual / straight","Overseas","Unknown","190","190","[c]","[c]"
"In post","2021","Heterosexual / straight","Scotland","AA/AO","8610","7770","22090","21010"
"In post","2021","Heterosexual / straight","Scotland","EO","7990","7410","27870","27570"
"In post","2021","Heterosexual / straight","Scotland","G6/G7","3100","2970","60930","61010"
"In post","2021","Heterosexual / straight","Scotland","SCS","210","200","88560","83230"
"In post","2021","Heterosexual / straight","Scotland","SEO/HEO","7780","7430","37940","35720"
"In post","2021","Heterosexual / straight","Scotland","Unknown","90","90","40190","41390"
"In post","2021","Heterosexual / straight","South East (England)","AA/AO","9390","8560","23850","21550"
"In post","2021","Heterosexual / straight","South East (England)","EO","8950","8320","27970","27570"
"In post","2021","Heterosexual / straight","South East (England)","G6/G7","2350","2240","57070","54540"
"In post","2021","Heterosexual / straight","South East (England)","SCS","130","120","93040","90900"
"In post","2021","Heterosexual / straight","South East (England)","SEO/HEO","6990","6700","36680","35480"
"In post","2021","Heterosexual / straight","South East (England)","Unknown","1140","1050","30780","30880"
"In post","2021","Heterosexual / straight","South West (England)","AA/AO","6190","5680","22060","21010"
"In post","2021","Heterosexual / straight","South West (England)","EO","7260","6740","26380","26930"
"In post","2021","Heterosexual / straight","South West (England)","G6/G7","4160","4010","56410","54540"
"In post","2021","Heterosexual / straight","South West (England)","SCS","240","230","95240","90670"
"In post","2021","Heterosexual / straight","South West (England)","SEO/HEO","11200","10720","36220","35630"
"In post","2021","Heterosexual / straight","South West (England)","Unknown","1950","1850","37350","33500"
"In post","2021","Heterosexual / straight","Unknown","AA/AO","160","140","22170","21010"
"In post","2021","Heterosexual / straight","Unknown","EO","390","370","28010","27570"
"In post","2021","Heterosexual / straight","Unknown","G6/G7","120","110","56590","54700"
"In post","2021","Heterosexual / straight","Unknown","SCS","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","SEO/HEO","270","260","37030","35310"
"In post","2021","Heterosexual / straight","Unknown","Unknown","60","60","28550","27370"
"In post","2021","Heterosexual / straight","Wales","AA/AO","7780","6960","21370","21300"
"In post","2021","Heterosexual / straight","Wales","EO","6140","5700","27070","27570"
"In post","2021","Heterosexual / straight","Wales","G6/G7","2300","2210","58710","58490"
"In post","2021","Heterosexual / straight","Wales","SCS","230","220","87530","79950"
"In post","2021","Heterosexual / straight","Wales","SEO/HEO","6430","6120","37220","37410"
"In post","2021","Heterosexual / straight","Wales","Unknown","880","820","30000","28860"
"In post","2021","Heterosexual / straight","West Midlands (England)","AA/AO","6520","5940","21860","21010"
"In post","2021","Heterosexual / straight","West Midlands (England)","EO","6190","5730","27020","27570"
"In post","2021","Heterosexual / straight","West Midlands (England)","G6/G7","1590","1540","57010","52800"
"In post","2021","Heterosexual / straight","West Midlands (England)","SCS","150","140","93940","86370"
"In post","2021","Heterosexual / straight","West Midlands (England)","SEO/HEO","4770","4570","35990","34340"
"In post","2021","Heterosexual / straight","West Midlands (England)","Unknown","1140","1050","29860","28200"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","AA/AO","7320","6570","22430","21050"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","EO","6930","6370","27120","27570"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","G6/G7","2660","2550","56420","52770"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","SCS","170","160","86820","78410"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","SEO/HEO","6170","5850","35360","34290"
"In post","2021","Heterosexual / straight","Yorkshire and The Humber","Unknown","1100","1000","29910","30210"
"In post","2021","LGBO","East Midlands (England)","AA/AO","280","270","22900","21010"
"In post","2021","LGBO","East Midlands (England)","EO","260","250","26870","27570"
"In post","2021","LGBO","East Midlands (England)","G6/G7","50","50","57510","52580"
"In post","2021","LGBO","East Midlands (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","East Midlands (England)","SEO/HEO","150","150","35910","33840"
"In post","2021","LGBO","East Midlands (England)","Unknown","40","40","[c]","[c]"
"In post","2021","LGBO","East of England","AA/AO","280","270","24150","22420"
"In post","2021","LGBO","East of England","EO","250","240","28050","27570"
"In post","2021","LGBO","East of England","G6/G7","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","East of England","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","East of England","SEO/HEO","140","130","36160","35120"
"In post","2021","LGBO","East of England","Unknown","50","40","[c]","[c]"
"In post","2021","LGBO","London","AA/AO","400","390","26240","25110"
"In post","2021","LGBO","London","EO","900","870","29740","29720"
"In post","2021","LGBO","London","G6/G7","1650","1630","59350","57530"
"In post","2021","LGBO","London","SCS","250","240","87880","78670"
"In post","2021","LGBO","London","SEO/HEO","1820","1800","37830","36800"
"In post","2021","LGBO","London","Unknown","80","80","33580","33020"
"In post","2021","LGBO","North East (England)","AA/AO","420","390","21500","21010"
"In post","2021","LGBO","North East (England)","EO","250","240","26830","27570"
"In post","2021","LGBO","North East (England)","G6/G7","70","70","52970","51890"
"In post","2021","LGBO","North East (England)","SCS","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","North East (England)","SEO/HEO","230","220","34040","31990"
"In post","2021","LGBO","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","North West (England)","AA/AO","760","720","21640","21010"
