"Status","Year","Sexual_orientation","Sex","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","Female","Commercial","2070","1960","38920","36300"
"In post","2021","Heterosexual / straight","Female","Communications","1580","1500","41540","38540"
"In post","2021","Heterosexual / straight","Female","Corporate Finance","60","60","45090","41600"
"In post","2021","Heterosexual / straight","Female","Counter Fraud","280","250","34210","31070"
"In post","2021","Heterosexual / straight","Female","Digital, Data and Technology","2990","2830","40910","38000"
"In post","2021","Heterosexual / straight","Female","Economics","530","510","47690","49100"
"In post","2021","Heterosexual / straight","Female","Finance","3720","3450","38490","33930"
"In post","2021","Heterosexual / straight","Female","Human Resources","4400","4110","38700","33900"
"In post","2021","Heterosexual / straight","Female","Inspector of Education and Training","520","500","63490","64500"
"In post","2021","Heterosexual / straight","Female","Intelligence Analysis","1150","1070","32900","29250"
"In post","2021","Heterosexual / straight","Female","Internal Audit","300","290","43320","41340"
"In post","2021","Heterosexual / straight","Female","International Trade","370","370","46960","41290"
"In post","2021","Heterosexual / straight","Female","Knowledge and Information Management","900","840","35810","33050"
"In post","2021","Heterosexual / straight","Female","Legal","4650","4250","48850","50520"
"In post","2021","Heterosexual / straight","Female","Medicine","1220","1080","49690","37890"
"In post","2021","Heterosexual / straight","Female","Operational Delivery","65030","58130","28030","25480"
"In post","2021","Heterosexual / straight","Female","Operational Research","320","300","43560","40530"
"In post","2021","Heterosexual / straight","Female","Other","7950","7470","29240","24890"
"In post","2021","Heterosexual / straight","Female","Planning","80","80","45760","40790"
"In post","2021","Heterosexual / straight","Female","Planning Inspectors","100","90","57580","58810"
"In post","2021","Heterosexual / straight","Female","Policy","10970","10500","46190","41760"
"In post","2021","Heterosexual / straight","Female","Project Delivery","6040","5770","40490","37450"
"In post","2021","Heterosexual / straight","Female","Property","1940","1810","35030","33000"
"In post","2021","Heterosexual / straight","Female","Psychology","940","890","35650","31180"
"In post","2021","Heterosexual / straight","Female","Science and Engineering","2790","2580","38080","36150"
"In post","2021","Heterosexual / straight","Female","Security","1220","1170","31980","28750"
"In post","2021","Heterosexual / straight","Female","Social Research","610","570","43210","41760"
"In post","2021","Heterosexual / straight","Female","Statistics","680","640","44190","40640"
"In post","2021","Heterosexual / straight","Female","Tax","4640","4260","34380","31810"
"In post","2021","Heterosexual / straight","Female","Unknown","47800","42400","30040","27570"
"In post","2021","Heterosexual / straight","Female","Veterinarian","170","160","44810","38750"
"In post","2021","Heterosexual / straight","Male","Commercial","1700","1680","42790","40080"
"In post","2021","Heterosexual / straight","Male","Communications","1000","990","41560","37660"
"In post","2021","Heterosexual / straight","Male","Corporate Finance","60","60","52090","47140"
"In post","2021","Heterosexual / straight","Male","Counter Fraud","320","310","40380","37910"
"In post","2021","Heterosexual / straight","Male","Digital, Data and Technology","5290","5230","43090","39310"
"In post","2021","Heterosexual / straight","Male","Economics","870","860","47940","46240"
"In post","2021","Heterosexual / straight","Male","Finance","2860","2820","43830","39910"
"In post","2021","Heterosexual / straight","Male","Human Resources","1610","1580","40000","35760"
"In post","2021","Heterosexual / straight","Male","Inspector of Education and Training","210","200","73650","75500"
"In post","2021","Heterosexual / straight","Male","Intelligence Analysis","1320","1290","35380","31920"
"In post","2021","Heterosexual / straight","Male","Internal Audit","300","290","48820","46500"
"In post","2021","Heterosexual / straight","Male","International Trade","460","460","48430","50010"
"In post","2021","Heterosexual / straight","Male","Knowledge and Information Management","740","730","37940","35070"
"In post","2021","Heterosexual / straight","Male","Legal","3080","2990","47300","48080"
"In post","2021","Heterosexual / straight","Male","Medicine","500","460","65160","64380"
"In post","2021","Heterosexual / straight","Male","Operational Delivery","50970","48930","30420","27370"
"In post","2021","Heterosexual / straight","Male","Operational Research","540","520","45310","46080"
"In post","2021","Heterosexual / straight","Male","Other","7310","7150","32050","26930"
"In post","2021","Heterosexual / straight","Male","Planning","80","80","48270","41020"
"In post","2021","Heterosexual / straight","Male","Planning Inspectors","160","150","58050","58810"
"In post","2021","Heterosexual / straight","Male","Policy","8720","8630","49450","48400"
"In post","2021","Heterosexual / straight","Male","Project Delivery","5830","5740","44410","40580"
"In post","2021","Heterosexual / straight","Male","Property","2930","2860","37940","33570"
"In post","2021","Heterosexual / straight","Male","Psychology","120","120","36780","31180"
"In post","2021","Heterosexual / straight","Male","Science and Engineering","6100","5970","38510","37320"
"In post","2021","Heterosexual / straight","Male","Security","4670","4590","30520","26610"
"In post","2021","Heterosexual / straight","Male","Social Research","240","240","43850","40960"
"In post","2021","Heterosexual / straight","Male","Statistics","710","700","44500","40640"
"In post","2021","Heterosexual / straight","Male","Tax","4960","4770","36830","31810"
"In post","2021","Heterosexual / straight","Male","Unknown","27190","26360","32460","27570"
"In post","2021","Heterosexual / straight","Male","Veterinarian","120","120","46760","46450"
"In post","2021","Heterosexual / straight","Unknown","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Economics","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Social Research","[c]","[c]","[c]","[c]"
"In post","2021","Heterosexual / straight","Unknown","Statistics","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Commercial","60","60","35350","32850"
"In post","2021","LGBO","Female","Communications","80","70","39570","36780"
"In post","2021","LGBO","Female","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Digital, Data and Technology","210","210","40070","37130"
"In post","2021","LGBO","Female","Economics","50","50","43250","36150"
"In post","2021","LGBO","Female","Finance","100","100","39000","33930"
"In post","2021","LGBO","Female","Human Resources","150","140","38280","32870"
"In post","2021","LGBO","Female","Inspector of Education and Training","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Intelligence Analysis","60","60","32100","29280"
"In post","2021","LGBO","Female","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","International Trade","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Knowledge and Information Management","40","40","[c]","[c]"
"In post","2021","LGBO","Female","Legal","170","160","46530","49540"
"In post","2021","LGBO","Female","Medicine","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Operational Delivery","3610","3470","28610","25900"
"In post","2021","LGBO","Female","Operational Research","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Other","270","260","30760","26510"
"In post","2021","LGBO","Female","Planning","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Planning Inspectors","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Female","Policy","800","790","44230","39600"
"In post","2021","LGBO","Female","Project Delivery","240","240","39490","35960"
"In post","2021","LGBO","Female","Property","80","70","34040","32010"
"In post","2021","LGBO","Female","Psychology","40","40","[c]","[c]"
"In post","2021","LGBO","Female","Science and Engineering","190","180","35380","31250"
"In post","2021","LGBO","Female","Security","110","110","32010","28990"
"In post","2021","LGBO","Female","Social Research","50","50","41890","37020"
"In post","2021","LGBO","Female","Statistics","60","60","38870","37020"
"In post","2021","LGBO","Female","Tax","250","240","32820","31810"
"In post","2021","LGBO","Female","Unknown","2250","2140","30210","27570"
"In post","2021","LGBO","Female","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Commercial","110","100","38190","34710"
"In post","2021","LGBO","Male","Communications","130","130","43110","40960"
"In post","2021","LGBO","Male","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","LGBO","Male","Digital, Data and Technology","280","270","42290","38040"
