"Status","Year","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Heterosexual / straight","316980","296760","34040","29290"
"In post","2021","LGBO","18820","18270","34420","29890"
"In post","2021","Undeclared","43670","40310","33690","29350"
"In post","2021","Unknown","105410","97480","32660","27680"
"In post","2022","Heterosexual / straight","339250","318420","34750","30450"
"In post","2022","LGBO","22040","21430","34920","30700"
"In post","2022","Undeclared","43250","40130","35030","31040"
"In post","2022","Unknown","105540","98100","33240","28250"
"Leaver CS","2021","Heterosexual / straight","12400","11130","32830","27570"
"Leaver CS","2021","LGBO","760","720","32460","27370"
"Leaver CS","2021","Undeclared","1990","1730","33340","27570"
"Leaver CS","2021","Unknown","12680","10870","32110","27570"
"Leaver CS","2022","Heterosexual / straight","24120","21800","33260","27570"
"Leaver CS","2022","LGBO","1860","1760","31960","27570"
"Leaver CS","2022","Undeclared","3590","2800","33860","28310"
"Leaver CS","2022","Unknown","14650","12840","32960","27570"
"Leaver Dept.","2021","Heterosexual / straight","5990","5810","37670","32670"
"Leaver Dept.","2021","LGBO","590","580","36700","32430"
"Leaver Dept.","2021","Undeclared","690","670","39270","34280"
"Leaver Dept.","2021","Unknown","4710","4180","37410","32560"
"Leaver Dept.","2022","Heterosexual / straight","14000","13170","38000","32330"
"Leaver Dept.","2022","LGBO","1280","1200","37310","32870"
"Leaver Dept.","2022","Undeclared","2720","1640","40140","34770"
"Leaver Dept.","2022","Unknown","5660","5180","40310","33250"
"New entrant CS","2021","Heterosexual / straight","33770","32900","29430","27570"
"New entrant CS","2021","LGBO","3480","3430","28380","27570"
"New entrant CS","2021","Undeclared","2560","2460","31120","27570"
"New entrant CS","2021","Unknown","17390","16940","29500","25560"
"New entrant CS","2022","Heterosexual / straight","39550","38340","29920","27230"
"New entrant CS","2022","LGBO","4240","4160","29060","26810"
"New entrant CS","2022","Undeclared","3360","2980","31760","28000"
"New entrant CS","2022","Unknown","22250","21350","28970","26130"
"Notes","Summary figures are suppressed when information relates to less than 30 civil servants for FTE or Headcount, and less than 50 civil servants for median and mean salary (shown as [c]). Additionally, zero responses have been suppressed for GPDR protected characteristics. Figures are rounded to the nearest 10, or £10 as appropriate.","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","",""
"Version","Generated on 2022-07-26, with GIT 03ee02c.","","","","",""
"Data column","Description","","","","",""
"Status","Employment status of the civil servants.","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. The Defence Electronics and Components Agency does not record the date in which their employees first enter the Civil Service and so entrants data is not available. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","",""
"Year","Year of data collection (as at March 31st).","","","","",""
"Sexual_orientation","Self reported sexual orientation.","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their sexual orientation and ""Unknown"" accounts for employees who have not made an active declaration about their sexual orientation.","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 10).","","","","",""
"FTE","Total full-time equivalent employment numbers (rounded to nearest 10).","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","",""
